Japanese,English
の,of
に,to
する,do
は,teeth
を,of
が,but
と,and
年,year
で,in
だ,is
月,month
も,too
から,from
日,day
成る,become
こと,thing
有る,Yes
よる,evening
や,or
など,etc.
言う,say
日本,Japan
為,for the sake of
この,this
人,people
その,the
まで,to
もの,thing
へ,fart
又,also
これ,this
行う,conduct
よう,Yo
出来る,I can do it
駅,station
国,country
より,twist
大学,university
現在,the current
後,rear
か,mosquito
線,line
ぬ,Nu
放送,broadcast
号,issue
軍,army
無い,None
部,Department
持つ,have
所,place
名,given name
回,times
世界,world
時,time
戦,war
時代,era
東京,Tokyo
おく,put
でも,but
呼ぶ,call
その後,after that
会,Association
それ,that
機,machine
会う,meet
受ける,receive
多い,many
選手,player
場合,case
対する,against
しかし,but
つく,arrive
昭和,Showa era
作品,the work
地,earth
中,Medium
使用,use
共に,both
学校,school
語,word
彼,he
行く,go
アメリカ,America
当時,at that time
番組,program
車,car
社,company
川,river
映画,movie
位,rank
見る,look
テレビ,tv set
系,system
研究,the study
町,town
東,east
存在,existence
活動,activity
発売,Release
他,others
出身,Birthplace
年代,era
会社,company
権,right
開発,development
分,minutes
西,west
鉄道,railway
法,law
局,Bureau
更に,Furthermore
のみ,only
間,between
山,mountain
式,formula
島,island
なお,In addition
可能,Possible
ドイツ,Germany
代表,representative
使う,use
同じ,same
曲,song
地域,region
作,Made by
事,case
版,edition
取る,take
登場,appearance
チーム,team
世,world
時間,time
於ける,in
中心,center
大会,tournament
多く,many
南,south
シリーズ,series
賞,award
北,north
開始,start
フランス,France
一部,part
始める,start
平成,Heisei
知る,know
子,child
ゲーム,game
道,road
角,corner
用いる,use
および,and
館,Hall
場,place
体,body
世紀,century
音楽,music
参加,participation
発表,announcement
記録,record
掛ける,hang
高い,expensive
利用,use
際,edge
出場,Participation
国際,international
リーグ,league
所属,Affiliation
務める,serve
関係,relationship
考える,think
イギリス,England
生まれる,born
入る,enter
度,degree
州,state
全て,all
明治,Meiji
生,raw
点,point
力,force
良い,good
だけ,only
王,king
試合,game
得る,obtain
優勝,Victory
都市,City
含む,include
アルバム,album
込む,enter
問題,problem
シーズン,season
開催,held
大阪,Osaka
位置,position
監督,director
上,above
主,main
設置,Installation
